match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,p1_ace_sum,p2_ace_sum,p1_winner_sum,p2_winner_sum,p1_double_fault_sum,p2_double_fault_sum,p1_unf_err_sum,p2_unf_err_sum,p1_break_pt_won_sum,p2_break_pt_won_sum,p1_break_pt_missed_sum,p2_break_pt_missed_sum,serve_width_score,serve_depth_score,return_depth_score,p1_Psychological_Factor,p2_Psychological_Factor,p1_Physical_Factor,p2_Physical_Factor,p1_skill_factors,p2_skill_factors,p1_server_factors,p2_server_factors
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:00:00,1,1,1,0,0,0,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,7.84,2,95,0,0,0,0,0,0,1,0,0,0,0,0,0.4,0.4,0.45,-0.144848725,0.147634,19.62281936,18.17124864,0.151874015,-0.135210485,0.431362225,-0.438869775
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:00:38,1,1,2,0,0,0,0,0,15,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.253,7.094,1,118,0,0,0,0,0,0,1,0,0,0,0,0,0.65,0.8,0.45,-0.13977495,0.147634,24.02486848,22.59163752,0.355818307,-0.343043293,1.00917514,-0.99082486
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:01:01,1,1,3,0,0,0,0,15,15,1,1,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.8,19.808,4,120,0,0,0,0,0,0,2,0,0,0,0,0,0.65,0.4,0.85,-0.303684199,0.295268,26.32864743,21.73660857,0.139861202,-0.150602798,1.084299234,-0.915700766
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:01:31,1,1,4,0,0,0,0,15,30,1,1,1,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,51.108,75.631,13,130,0,0,1,0,0,0,2,0,0,0,0,0,0.75,0.8,0.85,-0.177608163,0.174762,36.2972975,17.6869445,0.284479917,-0.270910283,1.048448445,-0.951551555
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:02:21,1,1,5,0,0,0,0,30,30,1,1,1,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649,0.813,1,112,1,0,2,0,0,0,2,0,0,0,0,0,0.9,0.4,0,0.025353669,-0.022162,22.19484661,22.06255539,0.531914613,-0.516216387,1.088134489,-0.911865511
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:02:50,1,1,6,0,0,0,0,40,30,1,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.291,4.249,2,97,1,0,2,0,0,0,2,0,0,0,0,0,0.75,0.4,0.45,0.030324744,-0.022162,18.98996775,19.59046825,0.315117017,-0.314619583,0.339607393,-0.530624607
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:03:33,1,1,7,0,0,0,0,40,40,1,1,1,4,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.817,17.821,1,109,2,0,3,0,0,0,2,0,0,0,0,0,0.9,0.8,0.85,0.21691552,-0.219086,25.50890863,17.56894137,0.358341396,-0.343899704,1.062558346,-0.937441654
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:04:01,1,1,8,0,0,0,0,AD,40,1,2,2,4,4,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,17.503,18.067,6,105,2,0,3,1,0,0,2,0,0,0,0,0,0.65,0.4,0.45,0.06646399,-0.06244,21.726694,20.88239,0.274687931,-0.257148069,0.449439589,-0.420792411
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:04:48,1,1,9,0,0,0,0,40,40,1,1,1,5,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,34.489,24.594,7,128,2,0,3,1,0,0,1,0,0,0,0,0,0.4,0.8,0.85,0.203932078,-0.210074,22.88448307,28.98862693,0.102330027,-0.110408073,0.973486651,-1.026513349
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:05:32,1,1,10,0,0,0,0,AD,40,1,1,1,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.235,27.427,5,110,2,0,3,1,0,0,1,0,0,0,0,0,0.65,0.4,0.45,0.210783353,-0.210074,24.63283555,19.72137445,0.265309755,-0.266526245,0.965368124,-1.034631876
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:07:05,1,2,11,0,0,1,0,0,0,2,1,2,6,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.785,4.915,1,112,2,1,3,2,0,0,0,0,0,0,0,0,0.9,0.8,0.85,0.121992244,-0.122647,21.89544345,22.36195855,-0.346113094,0.356128006,-1.005656065,0.994343935
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:07:28,1,2,12,0,0,1,0,0,15,2,1,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.744,18.244,4,130,2,1,2,2,0,0,0,0,0,0,0,0,0.9,0.4,0.85,0.00871168,-0.002141,25.72092601,26.27616999,-0.26732584,0.26788966,-0.999276543,1.000723457
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:08:06,1,2,13,0,0,1,0,15,15,2,1,1,8,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26.013,18.626,4,120,1,1,1,2,0,0,0,1,0,0,0,0,0.5,0.4,0.85,-0.055440294,0.053834,21.75752455,26.30773145,-0.068032948,0.075580152,-0.994316432,1.005683568
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:08:41,1,2,14,0,0,1,0,30,15,2,1,2,8,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.667,7.112,3,128,1,1,1,3,0,0,0,1,0,0,0,0,0.9,0.4,0.45,-0.219480721,0.21048,24.37646507,26.61346893,-0.381448336,0.395139164,-1.006487395,0.993512605
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:09:11,1,2,15,0,0,1,0,30,30,2,1,2,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.399,2.237,1,130,0,1,0,3,0,0,0,1,0,0,0,0,0.5,0.4,0.45,-0.416921596,0.407404,25.30064205,26.03407195,-0.197862989,0.187122111,-0.991456149,1.008543851
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:09:37,1,2,16,0,0,1,0,30,40,2,2,1,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,4.307,2,97,0,1,0,2,0,0,0,1,0,0,0,0,0.75,0.4,0.85,-0.253786987,0.250758,19.00737355,19.57306245,-0.191267577,0.197097023,-0.443996407,0.426235593
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:10:20,1,2,17,0,0,1,0,40,40,2,1,2,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.245,5.499,1,124,0,1,0,2,0,0,0,1,0,0,0,0,0.4,0.4,0,-0.2573682,0.250758,24.64429953,24.33131047,-0.282386815,0.276241185,-1.009936168,0.990063832
